-4.00000000e+00 2.40660369e-15 0.00000000e+00 0.00000000e+00 2.31348243e-26 0.00000000e+00 0.00000000e+00
-3.80000000e+00 2.40645482e-15 0.00000000e+00 0.00000000e+00 2.31333932e-26 0.00000000e+00 0.00000000e+00
-3.60000000e+00 2.40626030e-15 0.00000000e+00 0.00000000e+00 2.31315232e-26 0.00000000e+00 0.00000000e+00
-3.40000000e+00 2.40600600e-15 0.00000000e+00 0.00000000e+00 2.31290786e-26 0.00000000e+00 0.00000000e+00
-3.20000000e+00 2.40567343e-15 0.00000000e+00 0.00000000e+00 2.31258816e-26 0.00000000e+00 0.00000000e+00
-3.00000000e+00 2.40523832e-15 0.00000000e+00 0.00000000e+00 2.31216989e-26 0.00000000e+00 0.00000000e+00
-2.80000000e+00 2.40466883e-15 0.00000000e+00 0.00000000e+00 2.31162243e-26 0.00000000e+00 0.00000000e+00
-2.60000000e+00 2.40392319e-15 0.00000000e+00 0.00000000e+00 2.31090564e-26 0.00000000e+00 0.00000000e+00
-2.40000000e+00 2.40294658e-15 0.00000000e+00 0.00000000e+00 2.30996682e-26 0.00000000e+00 0.00000000e+00
-2.20000000e+00 2.40166710e-15 0.00000000e+00 0.00000000e+00 2.30873685e-26 0.00000000e+00 0.00000000e+00
-2.00000000e+00 2.39999043e-15 0.00000000e+00 0.00000000e+00 2.30712505e-26 0.00000000e+00 0.00000000e+00
-1.80000000e+00 2.39779291e-15 0.00000000e+00 0.00000000e+00 2.30501257e-26 0.00000000e+00 0.00000000e+00
-1.60000000e+00 2.39491257e-15 0.00000000e+00 0.00000000e+00 2.30224368e-26 0.00000000e+00 0.00000000e+00
-1.40000000e+00 2.39113745e-15 0.00000000e+00 0.00000000e+00 2.29861463e-26 0.00000000e+00 0.00000000e+00
-1.20000000e+00 2.38619065e-15 0.00000000e+00 0.00000000e+00 2.29385924e-26 0.00000000e+00 0.00000000e+00
-1.00000000e+00 2.37971128e-15 0.00000000e+00 0.00000000e+00 2.28763059e-26 0.00000000e+00 0.00000000e+00
-8.00000000e-01 2.37123048e-15 0.00000000e+00 0.00000000e+00 2.27947794e-26 0.00000000e+00 0.00000000e+00
-6.00000000e-01 2.36014176e-15 0.00000000e+00 0.00000000e+00 2.26881829e-26 0.00000000e+00 0.00000000e+00
-4.00000000e-01 2.34566532e-15 0.00000000e+00 0.00000000e+00 2.25490200e-26 0.00000000e+00 0.00000000e+00
-2.00000000e-01 2.32680665e-15 0.00000000e+00 0.00000000e+00 2.23677305e-26 0.00000000e+00 0.00000000e+00
-4.44089210e-16 2.30231156e-15 0.00000000e+00 0.00000000e+00 2.21322578e-26 0.00000000e+00 0.00000000e+00
2.00000000e-01 2.27062257e-15 0.00000000e+00 0.00000000e+00 2.18276296e-26 0.00000000e+00 0.00000000e+00
4.00000000e-01 2.22984678e-15 0.00000000e+00 0.00000000e+00 2.14356496e-26 0.00000000e+00 0.00000000e+00
6.00000000e-01 2.17775314e-15 0.00000000e+00 0.00000000e+00 2.09348703e-26 0.00000000e+00 0.00000000e+00
8.00000000e-01 2.11182796e-15 0.00000000e+00 0.00000000e+00 2.03011276e-26 0.00000000e+00 0.00000000e+00
1.00000000e+00 2.02943102e-15 0.00000000e+00 0.00000000e+00 1.95090409e-26 0.00000000e+00 0.00000000e+00
1.20000000e+00 1.92810498e-15 0.00000000e+00 0.00000000e+00 1.85349877e-26 0.00000000e+00 0.00000000e+00
1.40000000e+00 1.80608782e-15 0.00000000e+00 0.00000000e+00 1.73620295e-26 0.00000000e+00 0.00000000e+00
1.60000000e+00 1.66303933e-15 0.00000000e+00 0.00000000e+00 1.59868959e-26 0.00000000e+00 0.00000000e+00
1.80000000e+00 1.50089055e-15 0.00000000e+00 0.00000000e+00 1.44281500e-26 0.00000000e+00 0.00000000e+00
2.00000000e+00 1.32454665e-15 0.00000000e+00 0.00000000e+00 1.27329456e-26 0.00000000e+00 0.00000000e+00
2.20000000e+00 1.14197351e-15 0.00000000e+00 0.00000000e+00 1.09778592e-26 0.00000000e+00 0.00000000e+00
2.40000000e+00 9.63164581e-16 0.00000000e+00 0.00000000e+00 9.25895832e-27 0.00000000e+00 0.00000000e+00
2.60000000e+00 7.97896346e-16 0.00000000e+00 0.00000000e+00 7.67022496e-27 0.00000000e+00 0.00000000e+00
2.80000000e+00 6.53083369e-16 0.00000000e+00 0.00000000e+00 6.27812921e-27 0.00000000e+00 0.00000000e+00
3.00000000e+00 5.31264127e-16 0.00000000e+00 0.00000000e+00 5.10707361e-27 0.00000000e+00 0.00000000e+00
3.20000000e+00 4.31187352e-16 0.00000000e+00 0.00000000e+00 4.14502962e-27 0.00000000e+00 0.00000000e+00
3.40000000e+00 3.49748578e-16 0.00000000e+00 0.00000000e+00 3.36215385e-27 0.00000000e+00 0.00000000e+00
3.60000000e+00 2.83636907e-16 0.00000000e+00 0.00000000e+00 2.72661844e-27 0.00000000e+00 0.00000000e+00
3.80000000e+00 2.29993001e-16 0.00000000e+00 0.00000000e+00 2.21093638e-27 0.00000000e+00 0.00000000e+00
4.00000000e+00 1.86474191e-16 0.00000000e+00 0.00000000e+00 1.79258748e-27 0.00000000e+00 0.00000000e+00
4.20000000e+00 1.51175531e-16 0.00000000e+00 0.00000000e+00 1.45325935e-27 0.00000000e+00 0.00000000e+00
4.40000000e+00 1.22549043e-16 0.00000000e+00 0.00000000e+00 1.17807123e-27 0.00000000e+00 0.00000000e+00
4.60000000e+00 9.93371271e-17 0.00000000e+00 0.00000000e+00 9.54933703e-28 0.00000000e+00 0.00000000e+00
